(かさを～) さす
(花を〜) 生ける, 活ける
×
〜 (まる) ごと
〜(日本) 式
あ
ああ
あいさつする
あいにく
あいまい
あくどい
あくび
あげる
あざ
あせる (こえが～)
あそこ
あちこち
あちら
あちらこちら
あっさり
あっち
あつらえる
あなた
あの
あふれる
あぶる
あべこべ
あやふや
あらゆる
ありがとう
ありのまま
ありふれる
あるいは
あれ
あれこれ
あんな
あんなに
あんまり
いい
よい
いいえ
いい加減
いかが
いかに
いかにも
いきなり
いくつ
いくら
いくら～ても
いけない
いざ
いじめる
いじる
いずれ
いたずら
いただきます
いただく
いたって
いたわる
いちいち
いっそ
いってきます
いってまいります
いっぱい
いつ
いつか
いつでも
いつのまにか
いつまでも
いつも
いびき
いやに
いやらしい
いよいよ
いらいら
いらっしゃい
いらっしゃる
いわゆる
うかがう
うがい
うそ
うたた寝
うち
うっかり
うっとうしい
うつむく
うどん
うなずく
うなる
うぬぼれ
うまい
うるさい
うれしい
うろうろ
うん
うんざり
うんと
ええ
ええと
おいでになる
おおい (かん)
おおげさ
おおざっぱ
おおまかな
おかけください
おかげ
おかげさまで
おかしい
おかず
おかまいなく
おごる (ゆうしょくを～)
おじいさん
おだてる
おっかない
おっしゃる
おつり
おととし
おどおど
おはよう
おばあさん
おびただしい
おまけ
おまちどおさま
おまわりさん
おむつ
おめでたい
おめでとう
おもちゃ
おやつ
およそ
おる
おろそか
おんぶ
お世話になりました
お互い
お代わり
お休み
お使い
お供
お元気で
お兄さん
お先に
お出掛け
お前
お参り
お喋り
お土産
お大事に
お姉さん
お嬢さん
お子さん
お宅
お宮
お帰り
お弁当
お待たせしました
お待ちください
お手上げ
お手伝いさん
お手洗い
お昼
お母さん
お気の毒に
お洒落
お父さん
お産
お皿
お目に掛かる
お礼
お祝い
お祭り
お腹
お茶
お菓子
お袋
お見舞い
お辞儀
お邪魔します
お酒
お金
お金持ち
お願いします
お風呂
お～
かかと
かかる
かく (はじを)
かける
かさばる
かさむ
かしこまりました
かじる
かっこう
かつて
かなり
かなわない
かばん
かび (～がはえる)
かぶる
かぶれる
かまう
かもしれない
かゆい
からかう
かりに
かるた
かろうじて
がっかり
がっくり
がっしり
がっちり
きしむ
きちっと
きちんと
きっかけ
きっかり
きっちり
きっと
きっぱり
きつい
きまりわるい
きらびやか
ぎっしり
くぐる
くしゃみ
くじ (～をひく)
くじびき
くすぐったい
くたびれる
くださる
くだらない
くっきり
くっつく
くっつける
くどい
くるむ
くれぐれも
くれる
ぐっすり
ぐっと
けがする
けがらわしい
けち
けなす
けれど
けれども
けんかする
げっそり
こう
こうして
ここ
こしらえる
こじれる
こす (みずを～)
こたつ
こだわる
こちら
こちらこそ
こっそり
こっち
こつ (をつかむ)
ことごとく
ことによると
こないだ
この
この間
この頃
こぼす
こぼれる
これ
これから
これら
こんな
こんなに
こんにちは
こんばんは
ございます (かん)
ごちそう
ごちそうさま
ごまかす
ごみ
ごめんください
ごめんなさい
ごらんなさい (かん)
ごらんになる
ご主人
ご存じ
ご苦労様
さあ
さえずる
さきに (いぜん)
さぞ (さぞや。さぞかし)
さっき
さっさと
さっと
さっぱり
さっぱりする
さて
さほど
さも
さようなら
さらう (こどもを～)
さわやか
さ来年
ざっと
しいんと (する)
しかし
しかしながら
しかも
しきたり
しきりに
しくじる
したがって
しっかり
しっぽ
しつこい
しつれいしました (かん)
しなやか
しばしば
しばらく
しびれる
しぶとい
しぼむ
しまった (かん)
しみじみ
しめた (かん)
しゃがむ
しゃっくり
しゃぶる
しゃべる
しょうがない
しょっちゅう
しわ (かおの～)
じっくり
じっと
じゃ
じゃあ
じゃんけん
じゅうたん (カーペット)
すがすがしい
すくう (みずを～)
すくなくとも
すぐに
すっかり
すっきり
すっと
すっぱい
すてき
すなわち
すばしこい
すまない
すみません (かん)
すみやか
すり
する
すると
すれちがい
すれ違う
すんなり
ずうっと
ずっと
ずばり
ずぶぬれ
ずらす
ずらっと
ずらり
ずるずる
ずれ
ずれる
せっせと
せめて
ぜひとも
そう
そう
そうです
そういえば
そうして
そして
そうっと
そこ
そこで
そこら
そして
そそっかしい
そちら
そっくり
そっち
そっと
その
そのうえ
そのうち
そのころ
そのため
そのまま
その他
そば
そらす
そり (～にのる)
それ
それから
それぞれ
それで
それでは
それでも
それと
それとも
それなのに
それなら
それに
それはいけませんね (かん)
それほど
それゆえ
そろそろ
そんな
そんなに
ぞんざい
たくましい
たしか
ただ
ただいま
たちまち
たっぷり
たて
たとえ
たばこ
たびたび
たまに
たまらない
ためらう
たやすい
たんす
だいいち (とりわけ)
だから
だが
だけど
だったら
だって
だと
だぶだぶ
だめ
だらしない
だるい
ちぎる
ちっとも
ちゃんと
ちやほや
ちょうだい
ちょくちょく
ちょっと
ちらっと
ついで
つかの間
つくづく
つける
つじつま (はなしの～)
つねる
つぶら
つぶる (めを～)
つまずく
つまらない
つまり
つもり
てっきり
てっぺん
てんで
でかい
できもの
できる
できるだけ
できれば
ですから
でたらめ
では
でも
と
とうとう
とかく
とがめる
とぎれる
とげ (をさす)
ところが
ところで
とっくに
とっさに
とって
とても
とにかく
とぼける
ともかく
とりあえず
とろける
とんだ
とんでもない
どう
どういたしまして (かん)
どうして
どうしても
どうせ
どうぞ
どうぞよろしく
どうにか
どうも
どうやら
どきどき
どこ
どこか
どちら
どっち
どっと
どなた
どの
どれ
どんどん
どんな
どんなに
ない
なお
なおさら
なさる
なぜ
なぜなら
なにしろ
なにとぞ
なにも
なにより
なる
なるたけ
なるべく
なるほど
なんだかんだ
なんとなく
なんとも
なんなり
にきび
にぎやか
にこにこ
にせ物
にっこり
にも関わらず
ねじ
ねじまわし
ねだる
のこぎり
のどか
のろのろ
のんびり
はあ (かん)
はい
はい (かん)
はかない
はきはき
はく
はさみ
はじめまして
はず
はっきり
はまる
はめる
はらはら
ばい菌
ばかばかしい
ばからしい
ばったり
ばてる
ばね
ばらまく
ひいては
ひげ
ひたすら
ひとまず
ひとりでに
ひどい
ひび (かべの～)
ひゃっかじてん
ひょっと
びっくりする
びっしょり
びら
びり
ぴかぴか
ぴたり
ぴったり
ふさわしい
ふざける
ふと
ふらふら
ふわふわ
ふんだん
ぶかぶか
ぶつかる
ぶつける
ぶつぶつ
ぶどう
ぶらさげる
ぶらぶら
へそ
へりくだる
ぺこぺこ
ほっと
ほっぺた
ほとり
ほとんど
ほぼ
ほんの～
ぼつぼつ
ぼやく
ぼやける
ぼろ
ぼんやり
まあ
まあまあ
まごつく
まごまご
まさか
まさしく
まさに
まして
ますます
まず
まずい
また
またがる (うまを～)
またぐ
または
まだ
まちまち
まっすぐ
まと
まとまる
まとめる
まぶしい
まぶた
まるっきり
まるで
みじめ
みすぼらしい
みっともない
みんな
むしる
めちゃくちゃ
めっきり
めでたい
めまい
もう
もうすぐ
もがく
もし
もしかしたら
もしかして
もしかすると
もしくは
もしも
もしもし
もたらす
もたれる
もちろん
もったいない
もっと
もてなす
もてる
もはや
もめる
もらう
もろに
やかましい
やかん
やがて
やけに
やたらに
やっつける
やっと
やっぱり
やはり
やっぱり
やむをえない
やや
ややこしい
やりとおす
やりとげる
やる
ゆっくりと
ゆとり
よく
よこす
よし (かん)
よって (よりどころ)
より
よろしい
よろしく (かん)
りっぱ
ろうそく
ろくな
わがまま
わざと
わざわざ
アイスクリーム
アイデア
アイディア
アウト
アクセサリー
アクセル
アクセント
アジア
アップ
アナウンサー
アパート
アフリカ
アプローチ
アマチュア
アメリカ
アラブ
アルカリ
アルコール
アルバイト
アルバム
アルミ
アワー
アンケート
アンコール
アンテナ
イェス
イコール
イメージ
インキ
インク
インタビュー
インターチェンジ
インターナショナル
インターフォン
インテリ
インフォメーション
インフレ
ウイスキー
ウエートレス
ウーマン
ウール
エアメール
エスカレーター
エチケット
エネルギー
エプロン
エレガント
エレベーター
エンジニア
エンジン
オイル
オフィス
オリエンテーション
オルガン
オンライン
オーケストラ
オートバイ
オートマチック
オートメーション
オーバー
カクテル
カセット
カット
カップ
カテゴリー
カバー
カムバック
カメラ
カメラマン
カラー
カルテ
カレンダー
カレー
カロリー
カンニング
カー
カーテン
カード
カーブ
カーペット
ガイド
ガイドブック
ガス
ガソリン
ガソリンスタンド
ガム
ガラス
ガレージ
キャッチ
キャプテン
キャリア
キャンパス
キャンプ
キロ
キログラム
キロ
キロメートル
ギター
ギャング
クイズ
クラシック
クラス
クリスマス
クリーニング
クリーム
クレーン
クーラー
グラス
グラム
グランド
グループ
グレー
ケーキ
ケース
ゲスト
ゲーム
コック
コップ
コピーする
コマーシャル
コメント
コレクション
コンクリート
コンクール
コンサート
コンセント
コンタクト (レンズ)
コンテスト
コントラスト
コントロール
コンパス
コンピュータ
コンピューター
コース
コーチ
コート
コード
コーナー
コーヒー
コーラス
ゴム
ゴール
サイクル
サイズ
サイレン
サイン
サボる
サラダ
サラリーマン
サンキュー
サンタクロース
サンダル
サンドイッチ
サンプル
サークル
サービス
システム
シック
シナリオ
シャッター
シャツ
シャワー
ショック
ショップ
ショー
シリーズ
シーズン
シーツ
シート
ジェット機
ジャズ
ジャム
ジャンパー
ジャンプ
ジャンボ
ジャンル
ジャーナリスト
ジュース
ジーパン
ジーンズ
スイッチ
スカート
スカーフ
スキー
スクリーン
スクール
スケジュール
スケート
スタイル
スタジオ
スタンド
スター
スタート
