あ
ああ
あいさつする
あいにく
あげる
あそこ
あちこち
あちら
あっち
あなた
あの
あらゆる
ありがとう
あるいは
あれ
あんな
あんなに
あんまり
いい
よい
いいえ
いかが
いくつ
いくら
いくら～ても
いけない
いじめる
いずれ
いたずら
いただきます
いただく
いっぱい
いつ
いつか
いつでも
いつのまにか
いつまでも
いつも
いらいら
いらっしゃい
いらっしゃる
いわゆる
うかがう
うがい
うそ
うち
うっかり
うなる
うまい
うるさい
うれしい
うん
ええ
おいでになる
おかげ
おかしい
おじいさん
おっしゃる
おつり
おととし
おばあさん
おまわりさん
おめでとう
おもちゃ
およそ
おる
お互い
お兄さん
お前
お喋り
お土産
お姉さん
お嬢さん
お子さん
お宅
お弁当
お手洗い
お昼
お母さん
お洒落
お父さん
お皿
お目に掛かる
お礼
お祝い
お祭り
お腹
お茶
お菓子
お見舞い
お辞儀
お酒
お金
お金持ち
お風呂
お～
かかる
かける
かっこう
かなり
かばん
かぶる
かまう
かもしれない
かゆい
がっかり
きちんと
きっと
きつい
くださる
くれる
ぐっすり
けがする
けち
けれど
けれども
けんかする
こう
ここ
こちら
こっち
ことによると
この
この間
この頃
こぼす
こぼれる
これ
これから
これら
こんな
こんなに
こんにちは
ごちそう
ごみ
ごめんなさい
ごらんになる
ご主人
ご存じ
さあ
さっき
さっぱり
さて
さ来年
ざっと
しかし
しかも
しきりに
したがって
しっかり
しばしば
しばらく
しまった (かん)
しゃべる
じっと
じゃ
じゃあ
すくなくとも
すぐに
すっかり
すっと
すっぱい
すてき
すなわち
すみません (かん)
すり
する
すると
すれ違う
ずっと
ずれる
そう
そう
そうです
そうして
そして
そこ
そこで
そして
そちら
そっくり
そっち
そっと
その
そのうえ
そのうち
そのまま
そば
それ
それから
それぞれ
それで
それでは
それでも
それと
それとも
それに
それほど
そろそろ
そんな
そんなに
たしか
ただ
たっぷり
たて
たとえ
たばこ
たびたび
たまに
たまらない
だから
だが
だけど
だって
だめ
ちっとも
ちゃんと
ちょうだい
ちょっと
つける
つまらない
つまり
つもり
できる
できるだけ
できれば
ですから
では
でも
と
とうとう
ところが
ところで
とても
とにかく
とんでもない
どう
どうして
どうしても
どうぞ
どうぞよろしく
どうも
どこ
どこか
どちら
どっち
どなた
どの
どれ
どんどん
どんな
どんなに
ない
なお
なさる
なぜ
なぜなら
なにも
なる
なるべく
なるほど
にぎやか
にっこり
のんびり
はあ (かん)
はい
はく
はさみ
はず
はっきり
ばったり
ひげ
ひどい
びっくりする
ぴったり
ふと
ぶつかる
ぶつける
ぶどう
ほっと
ほとんど
ほぼ
ぼんやり
まあ
まさか
まさに
ますます
まず
まずい
また
または
まだ
まっすぐ
まとまる
まとめる
まぶしい
まるで
みんな
もう
もうすぐ
もし
もしかすると
もしも
もしもし
もちろん
もったいない
もっと
もらう
やがて
やっと
やはり
やっぱり
やや
やる
ゆっくりと
よく
より
よろしい
よろしく (かん)
りっぱ
わがまま
わざと
アイスクリーム
アウト
アクセサリー
アジア
アップ
アナウンサー
アパート
アフリカ
アメリカ
アルコール
アルバイト
アルバム
アンケート
イメージ
インク
インタビュー
ウイスキー
エスカレーター
エネルギー
エレベーター
エンジン
オフィス
オートバイ
オーバー
カップ
カメラ
カレンダー
カレー
カー
カーテン
カード
ガス
ガソリン
ガソリンスタンド
ガラス
キャプテン
キャンプ
キロ
キログラム
キロ
キロメートル
ギター
クラシック
クラス
クリスマス
クリーム
グラス
グラム
グランド
グループ
ケーキ
ケース
ゲーム
コップ
コピーする
コンサート
コンテスト
コンピュータ
コンピューター
コーチ
コート
コード
コーヒー
ゴール
サイン
サラダ
サンダル
サンドイッチ
サービス
シャツ
シャワー
ショック
ジェット機
ジャム
ジュース
ジーンズ
スイッチ
スカート
スキー
スクリーン
スケジュール
スケート
スタイル
スタンド
スター
ステレオ
ステーキ
ストレス
ストーブ
スピーチ
スプーン
スポーツ
スーツ
スーツケース
スーパー (マーケット)
スープ
ズボン
セット
センター
セーター
ゼロ
ソファー
ソフト
タイトル
タイプ
タイプライター
タオル
タクシー
ダイヤ
ダウン
ダンス
チェックする
チャイム
チャンス
チーズ
チーム
テキスト
テスト
テニス
テレビ
テント
テーブル
テープ
テープレコーダー
デザイン
デザート
デパート
デモ
データ
デート
トイレ
トップ
トラック
トランプ
トレーニング
トン
トンネル
ドア
ドライブ
ドラマ
ドレス
ナイフ
ニュース
ネクタイ
ノック
ノー
ノート
ハイキング
ハンカチ
ハンサム
ハンバーグ
バイオリン
バス
バター
バッグ
バランス
パイプ
パイロット
パス
パスポート
パソコン
パパ
パン
パーセント
パーティー
パート (タイム)
ビデオ
ビル
ビール
ピアノ
ピクニック
ピン
ファックス
フィルム
フォーク
ブレーキ
プラス
プラスチック
プラン
プレゼント
プロ
プール
ベッド
ベル
ベルト
ベンチ
ペット
ペン
ペンキ
ページ
ホテル
ホーム
ボタン
ボーイ
ボート
ボール
ボールペン
ポケット
ポスト
マイク
マイナス
マスコミ
マスター
マッサージ
マッチ
ママ
マーケット
ミス
ミルク
メッセージ
メモ
メンバー
メートル
ユーモア
ヨット
ヨーロッパ
ライター
ラケット
ラジオ
ラジオカセ
ラベル
ルール
レコード
レジ
レストラン
レベル
レポート
リポート
ロケット
ワイシャツ
ワイン
ワープロ
一
一つ
一人
一人一人
一体
一家
一層
一帯
一度
一度に
一方
一日
一昨日
一時
一月
一生
一生懸命
一番
一瞬
一種
一緒
一致
一般
一言
丁寧
丁度
七
七つ
七日
万
万一
万年筆
丈夫
三
三つ
三日
上
上がる
上げる
上る
上京
上司
上手
上着
上等
上達
下
下げる
下さい
下す
下り
下りる
下る
下宿
下手
下着
不
不便
不利
不可
不安
不平
不幸
不思議
不正
不満
不自由
不足
不通
与える
世
世の中
世界
世紀
世話
世間
丘
丘陵
両方
両替
両親
並
並ぶ
並べる
中
中々
中古
中味
中央
中学
中学校
中心
中止
中身
丸
丸い
円い
主に
主婦
主張
主義
主要
久しぶり
乗せる
乗り換える
乗り物
乗る
乗客
九
九つ
九日
乾かす
乾く
乾燥
予報
予定
予想
予期
予測
予算
予約
予習
予防
争う
事
事件
事務所
事実
事情
事故
二
二つ
二人
二十日
二十歳
二日
互い
五
五つ
五日
亡くす
亡くなる
交ざる
交じる
交ぜる
交差点
交換
交番
交通
交際
享受
人
人口
人工
人形
人気
人物
人生
人種
人込み
人間
人類
今
今に
今にも
今回
今夜
今年
今度
今後
今日
今晩
今月
今朝
