(かさを～) さす
×
〜 (まる) ごと
〜(日本) 式
あ
ああ
あいさつする
あいにく
あいまい
あくび
あげる
あそこ
あちこち
あちら
あちらこちら
あっち
あなた
あの
あふれる
あぶる
あらゆる
ありがとう
あるいは
あれ
あれこれ
あんな
あんなに
あんまり
いい
よい
いいえ
いかが
いきなり
いくつ
いくら
いくら～ても
いけない
いじめる
いずれ
いたずら
いただきます
いただく
いちいち
いってきます
いってまいります
いっぱい
いつ
いつか
いつでも
いつのまにか
いつまでも
いつも
いよいよ
いらいら
いらっしゃい
いらっしゃる
いわゆる
うかがう
うがい
うそ
うち
うっかり
うどん
うなずく
うなる
うまい
うるさい
うれしい
うろうろ
うん
うんと
ええ
ええと
おいでになる
おおざっぱ
おかけください
おかげ
おかげさまで
おかしい
おかず
おかまいなく
おじいさん
おっしゃる
おつり
おととし
おはよう
おばあさん
おまちどおさま
おまわりさん
おめでたい
おめでとう
おもちゃ
おやつ
およそ
おる
お世話になりました
お互い
お代わり
お休み
お元気で
お兄さん
お先に
お出掛け
お前
お参り
お喋り
お土産
お大事に
お姉さん
お嬢さん
お子さん
お宅
お帰り
お弁当
お待たせしました
お待ちください
お手伝いさん
お手洗い
お昼
お母さん
お気の毒に
お洒落
お父さん
お皿
お目に掛かる
お礼
お祝い
お祭り
お腹
お茶
お菓子
お見舞い
お辞儀
お邪魔します
お酒
お金
お金持ち
お願いします
お風呂
お～
かかる
かける
かしこまりました
かじる
かっこう
かなり
かばん
かび (～がはえる)
かぶる
かまう
かもしれない
かゆい
からかう
かるた
がっかり
きちんと
きっかけ
きっと
きつい
ぎっしり
くしゃみ
くたびれる
くださる
くだらない
くっつく
くっつける
くどい
くるむ
くれぐれも
くれる
ぐっすり
けがする
けち
けれど
けれども
けんかする
こう
こうして
ここ
こしらえる
こちら
こちらこそ
こっそり
こっち
ことによると
こないだ
この
この間
この頃
こぼす
こぼれる
これ
これから
これら
こんな
こんなに
こんにちは
こんばんは
ごちそう
ごちそうさま
ごみ
ごめんください
ごめんなさい
ごらんになる
ご主人
ご存じ
ご苦労様
さあ
さっき
さっさと
さっぱり
さて
さようなら
さわやか
さ来年
ざっと
しいんと (する)
しかし
しかも
しきりに
したがって
しっかり
しっぽ
しつこい
しつれいしました (かん)
しばしば
しばらく
しびれる
しぼむ
しまった (かん)
しみじみ
しめた (かん)
しゃがむ
しゃっくり
しゃぶる
しゃべる
しょうがない
しわ (かおの～)
じっと
じゃ
じゃあ
じゃんけん
じゅうたん (カーペット)
すくなくとも
すぐに
すっかり
すっきり
すっと
すっぱい
すてき
すなわち
すまない
すみません (かん)
すり
する
すると
すれ違う
ずうっと
ずっと
ずらす
ずらり
ずれる
せっせと
せめて
ぜひとも
そう
そう
そうです
そういえば
そうして
そして
そうっと
そこ
そこで
そして
そそっかしい
そちら
そっくり
そっち
そっと
その
そのうえ
そのうち
そのころ
そのため
そのまま
その他
そば
それ
それから
それぞれ
それで
それでは
それでも
それと
それとも
それなのに
それなら
それに
それはいけませんね (かん)
それほど
そろそろ
そんな
そんなに
たしか
ただ
ただいま
たちまち
たっぷり
たて
たとえ
たばこ
たびたび
たまに
たまらない
ためらう
たんす
だいいち (とりわけ)
だから
だが
だけど
だって
だめ
だらしない
ちぎる
ちっとも
ちゃんと
ちょうだい
ちょっと
ついで
つける
つまずく
つまらない
つまり
つもり
できる
できるだけ
できれば
ですから
でたらめ
では
でも
と
とうとう
ところが
ところで
とっくに
とても
とにかく
ともかく
とんでもない
どう
どういたしまして (かん)
どうして
どうしても
どうせ
どうぞ
どうぞよろしく
どうも
どきどき
どこ
どこか
どちら
どっち
どっと
どなた
どの
どれ
どんどん
どんな
どんなに
ない
なお
なさる
なぜ
なぜなら
なにしろ
なにも
なる
なるべく
なるほど
なんとなく
なんとも
にぎやか
にこにこ
にっこり
ねじ
のこぎり
のろのろ
のんびり
はあ (かん)
はい
はい (かん)
はきはき
はく
はさみ
はじめまして
はず
はっきり
はめる
ばからしい
ばったり
ばね
ひげ
ひとまず
ひとりでに
ひどい
ひゃっかじてん
びっくりする
ぴかぴか
ぴたり
ぴったり
ふざける
ふと
ふわふわ
ぶつかる
ぶつける
ぶつぶつ
ぶどう
ぶらさげる
へそ
ほっと
ほとんど
ほぼ
ほんの～
ぼろ
ぼんやり
まあ
まあまあ
まごまご
まさか
まさに
ますます
まず
まずい
また
またぐ
または
まだ
まっすぐ
まとまる
まとめる
まぶしい
まぶた
まるで
みじめ
みっともない
みんな
めちゃくちゃ
めっきり
めでたい
めまい
もう
もうすぐ
もし
もしかしたら
もしかすると
もしも
もしもし
もたれる
もちろん
もったいない
もっと
もらう
やかましい
やかん
やがて
やたらに
やっつける
やっと
やっぱり
やはり
やっぱり
