あ
ああ
あいさつする
あげる
あそこ
あちら
あっち
あなた
あの
あれ
あんな
いい
よい
いいえ
いかが
いくつ
いくら
いくら～ても
いじめる
いただく
いっぱい
いつ
いつも
いらっしゃる
うかがう
うそ
うち
うまい
うるさい
うれしい
うん
ええ
おいでになる
おかげ
おかしい
おじいさん
おっしゃる
おつり
おととし
おばあさん
おまわりさん
おもちゃ
おる
お兄さん
お土産
お姉さん
お嬢さん
お子さん
お宅
お弁当
お手洗い
お母さん
お父さん
お皿
お礼
お祝い
お祭り
お腹
お茶
お菓子
お見舞い
お酒
お金
お金持ち
お風呂
お～
かかる
かける
かっこう
かばん
かぶる
かまう
きっと
くださる
くれる
けがする
けれど
けれども
けんかする
こう
ここ
こちら
こっち
この
この間
この頃
これ
これから
こんな
ごちそう
ごみ
ごらんになる
ご主人
ご存じ
さあ
さっき
さ来年
しかし
しっかり
しばらく
じゃ
じゃあ
すぐに
すっかり
すっと
すり
する
すると
そう
そう
そうです
そうして
そして
そこ
そちら
そっち
その
そば
それ
それから
それで
それでは
それに
それほど
そろそろ
そんな
そんなに
たて
たばこ
たまに
だから
だめ
ちっとも
ちょっと
つける
つまらない
つもり
できる
できるだけ
では
でも
とうとう
とても
どう
どうして
どうぞ
どうも
どこ
どちら
どっち
どなた
どの
どれ
どんどん
どんな
ない
なさる
なぜ
なる
なるべく
なるほど
にぎやか
はい
はく
はず
はっきり
ひげ
ひどい
びっくりする
ぶどう
ほとんど
まず
まずい
また
または
まだ
まっすぐ
みんな
もう
もうすぐ
もし
もしもし
もちろん
もっと
もらう
やっと
やはり
やっぱり
やる
ゆっくりと
よく
よろしい
りっぱ
アクセサリー
アジア
アナウンサー
アパート
アフリカ
アメリカ
アルコール
アルバイト
エスカレーター
エレベーター
オートバイ
オーバー
カップ
カメラ
カレンダー
カレー
カーテン
ガス
ガソリン
ガソリンスタンド
ガラス
キロ
キログラム
キロ
キロメートル
ギター
クラス
グラム
ケーキ
コップ
コピーする
コンサート
コンピュータ
コンピューター
コート
コーヒー
サラダ
サンダル
サンドイッチ
シャツ
シャワー
ジャム
スカート
スクリーン
ステレオ
ステーキ
ストーブ
スプーン
スポーツ
スーツ
スーツケース
スーパー (マーケット)
ズボン
セーター
ゼロ
ソフト
タイプ
タクシー
チェックする
テキスト
テスト
テニス
テレビ
テーブル
テープ
テープレコーダー
デパート
トイレ
ドア
ナイフ
ニュース
ネクタイ
ノート
ハンカチ
ハンバーグ
バス
バター
パソコン
パパ
パン
パーティー
パート (タイム)
ビル
ピアノ
ファックス
フィルム
フォーク
プレゼント
プール
ベッド
ベル
ペット
ペン
ページ
ホテル
ボタン
ボールペン
ポケット
ポスト
マッチ
メートル
ラジオ
ラジオカセ
レコード
レジ
レストラン
レポート
リポート
ワイシャツ
ワープロ
一
一つ
一人
一度
一日
一昨日
一月
一生懸命
一番
一緒
丁寧
丁度
七
七つ
七日
万
万年筆
丈夫
三
三つ
三日
上
上がる
上げる
上手
上着
下
下げる
下さい
下りる
下る
下宿
下手
下着
不便
世界
世話
両方
両親
並ぶ
並べる
中
中々
中学校
丸い
円い
久しぶり
乗り換える
乗り物
乗る
九
九つ
九日
乾く
予定
予約
予習
事
事務所
事故
二
二つ
二人
二十日
二十歳
二日
五
五つ
五日
亡くなる
交差点
交番
交通
人
人口
人形
今
今夜
今年
今度
今日
今晩
今月
今朝
今週
仕事
仕方
代わり
以上
以下
以内
以外
休み
休む
会う
会場
会社
会話
会議
会議室
伝える
伯母さん
叔母さん
伯父
叔父さん
伺う
似る
低い
住む
住所
体
何
何～
余り
作る
作文
使う
例えば
便利
倍
倒れる
借りる
値段
傘
働く
僕
億
優しい
元気
兄
兄弟
先
先月
先生
先輩
先週
光
光る
入る
入れる
入口
入学
入院
全然
全部
八
八つ
八日
八百屋
公務員
公園
六
六つ
六日
具合
内
再来月
再来週
写す
写真
冬
冷える
冷たい
冷房
冷蔵庫
凄い
出かける
出す
出る
出口
出席
出発
分かる
切る
切手
切符
初め
始め
初めて
別
別れる
利用
前
割れる
割合
力
勉強
動く
動物
動物園
勝つ
勤める
匂い
包む
北
医学
医者
十
十分
十日
千
午前
午後
半
半分
卒業
南
危ない
危険
卵
厚い
原因
厳しい
去年
参る
友達
反対
取り替える
取る
受ける
受付
口
古い
召し上がる
可愛い
台所
台風
叱る
右
合う
同じ
名前
向かう
向こう
君
吸う
吹く
周り
味
味噌
呼ぶ
咲く
品物
問題
喉
喜ぶ
喫茶店
噛む
四
四つ
四日
回る、回す
困る
図書館
国
国際
土曜日
在る
地下鉄
地図
地理
地震
坂
堅
硬
固い
場合
場所
塗る
塩
増える
壁
壊す
壊れる
声
売り場
売る
変
変える
変わる
夏
夏休み
夕方
夕飯
外
外国
外国人
多い
多分
夜
夢
大きい
大きな
大丈夫
大事
大人
大体
大使館
大分
大切
大勢
大変
大好き
大学
大学生
大抵
天気
天気予報
太い
太る
夫
失敗
失礼
奥さん
女
女の子
女性
好き
妹
妻
姉
始まる
始める
娘
嫌
嫌い
子
子供
字
字引
季節
学校
学生
安い
安全
安心
客
家
家内
家庭
家族
宿題
寂しい
寄る
寒い
寝る
寝坊
寺
封筒
専門
将来
尋ねる
小さい
小さな
小学校
小説
小鳥
少し
少ない
居る
届ける
屋上
展覧会
山
島
川
河
工場
工業
左
差し上げる
差す
市
市民
布団
席
帰り
帰る
帽子
平仮名
年
広い
床屋
店
店員
座る
庭
廊下
建て
建てる
建物
引き出し
引く
引っ越す
弟
弱い
強い
弾く
形
役に立つ
彼
彼ら
彼女
待つ
後
後ろ
御飯
御～
復習
心
心配
必ず
必要
忘れる
忘れ物
忙しい
怒る
怖い
思い出す
思う
急
急ぐ
急行
恥ずかしい
息子
悪い
悲しい
意味
意見
慣れる
戦争
戸
戻る
所
手
手伝う
手紙
手袋
打つ
払う
承知
技術
投げる
折る
折れる
押し入れ
押す
招待
拝見
拾う
持つ
指
指輪
捕まえる
捨てる
掃除
授業
掛ける
探す
揺れる
撮る
支度
放送
政治
故障
教える
教会
教室
教育
散歩
数学
文化
文学
文法
文章
料理
新しい
新聞
新聞社
方
旅行
旅館
日
日曜日
日記
早い
明るい
明後日
明日
易しい
昔
星
映画
映画館
春
昨夜
昨日
是非
昼
昼休み
昼御飯
昼間
時々
時代
時計
時間
晩
晩御飯
普通
景色
晴れ
晴れる
暇
暑い
暖かい
暖房
暗い
暮れる
曇り
曇る
曲る
書く
最も
